fiche_excel,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35
Rural,"BASE DE DONNEES DE LA CARTOGRAPHIE DE LA PAUVRETE MULITIDIMENSIONNELLE, HCP, RGPH 2024 & 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural,UNITE DE MESURE : COMMUNES RURALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural,Collectivités territoriales,Code géographique,Niveau d'agrégation géographique,Année,Pauvreté multidimensionnelle,,,,Pourcentage de la population en situation de privation ,,,,,,,,,,Contribution en pourcentage des privations de chaque indicateur au MPI,,,,,,,,,,Décomposition du MPI par source de privation,,,"Décomposition de la dynamique du MPI, entre 2014 et 2024, par source de privation",,,
Rural,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,"Indice de pauvreté multidimensionnelle
(MPI = H*A)","Taux de pauvreté: Proportion de la population en situation de pauvreté multidimensionnelle
(H)","Intensité de la pauvreté 
(A) ",Taux de vulnérabilité à la pauvreté ,Santé,,Education,,Conditions de vie,,,,,,Santé,,Education,,Conditions de vie,,,,,,,,,,,,
Rural,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,,,,,Mortalité infantile,Handicap,Scolarisation des enfants,Nombre d'années de scolarité,Electricité,Eau,Assainissement,Logement,Mode de cuisson,Actifs : Moyens de communication,Mortalité infantile,Handicap,Scolarisation des enfants,Nombre d'années de scolarité,Electricité,Eau,Assainissement,Logement,Mode de cuisson,Actifs : Moyens de communication,Santé ,Education,Conditions de vie,Variation de l'IPM **,Santé ,Education,Conditions de vie
Rural,Libellé de localité,Code de localité,Niveau d'agrégation géographiques,Année,(Valeur entre 0 et 1),% Population,% moyen de privations,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Population,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,% Contribution,--- : Diminution  +++ : Augmentation  Stag : Stagnation nc : Nouveaux centres,% Contribution,% Contribution,% Contribution
Rural,Région de Guelmim-Oued Noun,10,région,2024,0.039210423827171326,10.274969616590186,38.16111008277784,14.475335753787805,0.071345235965222,21.39726752092187,3.3247984680234697,24.172025192525993,4.533382601485237,23.36484954149541,12.384353998199314,15.448016949175566,14.980021653867809,1.176325686070803,0.1293887048959732,32.812599182128906,7.775089740753174,35.52469253540039,2.0671944618225098,6.066295146942139,4.270394325256348,5.4136552810668945,5.083902835845947,0.8567867279052734,32.941986083984375,43.29978561401367,23.758228302001953,---,19.478811480598388,45.57267411611078,34.94851103885977
Rural,Région de Guelmim-Oued Noun,10,région,2014,0.09053761512041092,22.119802676973563,40.93057009456738,21.82688973783876,0.32275977024908303,29.807038265942055,11.70750331525927,31.861595071103892,8.932463359196309,35.83258146520578,21.547858693610515,27.522037886054036,15.897827361156825,7.074338883635255,0.3431713283061981,24.96632957458496,14.579418182373047,30.0089054107666,3.062807083129883,7.529964923858643,5.775104522705078,6.750833511352539,4.467459678649902,2.516005039215088,25.30950164794922,44.588321685791016,30.102174758911133,,,,
Rural,* Les indicateurs de pauvreté de ces communes en 2014 sont alignés sur ceux de la commune de Dakhla en raison de la mobilité saisonnière d'une grande partie de la population de ces communes lors du recensement de 2014.,10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural,** nc : il désigne les nouveaux centres urbains créés en 2024 ; ces centres ne sont pas concernés par la décomposition de la dynamique de l'IPM entre 2014 et 2024.,10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural,"     Stag (stagnation) : il indique une quasi-stagnation des indices de la pauvreté multidimensionnelle entre 2014 et 2024. Dans ce cas de figure, la décomposition de la dynamique de la pauvreté n'est pas significative.",10,région,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
