fichier_source,ligne_source,code_territoire,nom_territoire,theme,indicateur,valeur_brute,valeur_numerique,cle_indicateur
Mig_interne-10ans.csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 10 ans),Population sédentaire,343435.0,343435.0,Migration interne récente (il y a 10 ans) | Population sédentaire
Mig_interne-10ans.csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 10 ans),Natifs résidents non migrants,304918.0,304918.0,Migration interne récente (il y a 10 ans) | Natifs résidents non migrants
Mig_interne-10ans.csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 10 ans),Residents récents (Il y a 10 ans),367530.0,367530.0,Migration interne récente (il y a 10 ans) | Residents récents (Il y a 10 ans)
Mig_interne-10ans.csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 10 ans),Entrées,37146.0,37146.0,Migration interne récente (il y a 10 ans) | Entrées
Mig_interne-10ans.csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 10 ans),Indice d'entrées,10.81602049878434,10.81602049878434,Migration interne récente (il y a 10 ans) | Indice d'entrées
Mig_interne-10ans.csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 10 ans),Sorties,62612.0,62612.0,Migration interne récente (il y a 10 ans) | Sorties
Mig_interne-10ans.csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 10 ans),Indice de sortie,17.035888226811416,17.035888226811416,Migration interne récente (il y a 10 ans) | Indice de sortie
Mig-interne-5ans .csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 5 ans),Effectif de la population sédentaire âgée de 5 ans et plus,382849.0,382849.0,Migration interne récente (il y a 5 ans) | Effectif de la population sédentaire âgée de 5 ans et plus
Mig-interne-5ans .csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 5 ans),Effectif des natifs résidents non migrants,355996.0,355996.0,Migration interne récente (il y a 5 ans) | Effectif des natifs résidents non migrants
Mig-interne-5ans .csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 5 ans),Effectif des résidents récents (Il y a 5 ans),396037.0,396037.0,Migration interne récente (il y a 5 ans) | Effectif des résidents récents (Il y a 5 ans)
Mig-interne-5ans .csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 5 ans),Effectif des entrées,25837.0,25837.0,Migration interne récente (il y a 5 ans) | Effectif des entrées
Mig-interne-5ans .csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 5 ans),Indice d'entrées,6.748710906033597,6.748710906033597,Migration interne récente (il y a 5 ans) | Indice d'entrées
Mig-interne-5ans .csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 5 ans),Effectif des Sorties,40041.0,40041.0,Migration interne récente (il y a 5 ans) | Effectif des Sorties
Mig-interne-5ans .csv,1,10,Région de Guelmim-Oued Noun,Migration interne récente (il y a 5 ans),Indice de sortie,10.11038525638825,10.11038525638825,Migration interne récente (il y a 5 ans) | Indice de sortie
Migration internationale.csv,1,10,Région de Guelmim-Oued Noun,Effectif des migrants internationaux (Immigrants et migrants de retour),Immigrants internationaux,4549.0,4549.0,Effectif des migrants internationaux (Immigrants et migrants de retour) | 
Migration interne durée de vie.csv,1,10,Région de Guelmim-Oued Noun,Migration interne durée de vie,Effectif de la population sédentaire,413934.0,413934.0,Migration interne durée de vie | Effectif de la population sédentaire
Migration interne durée de vie.csv,1,10,Région de Guelmim-Oued Noun,Migration interne durée de vie,Effectif des natifs,462286.0,462286.0,Migration interne durée de vie | Effectif des natifs
Migration interne durée de vie.csv,1,10,Région de Guelmim-Oued Noun,Migration interne durée de vie,Effectif des natifs résidents non migrants,311485.0,311485.0,Migration interne durée de vie | Effectif des natifs résidents non migrants
Migration interne durée de vie.csv,1,10,Région de Guelmim-Oued Noun,Migration interne durée de vie,Effectif des entrées,101412.0,101412.0,Migration interne durée de vie | Effectif des entrées
Migration interne durée de vie.csv,1,10,Région de Guelmim-Oued Noun,Migration interne durée de vie,Indice d'entrées,24.499557900534867,24.499557900534867,Migration interne durée de vie | Indice d'entrées
Migration interne durée de vie.csv,1,10,Région de Guelmim-Oued Noun,Migration interne durée de vie,Effectif des sorties,150800.0,150800.0,Migration interne durée de vie | Effectif des sorties
Migration interne durée de vie.csv,1,10,Région de Guelmim-Oued Noun,Migration interne durée de vie,Indice de sortie,32.6204989984555,32.6204989984555,Migration interne durée de vie | Indice de sortie
